2022/3/1 0:00 UPDATE
DATE,ÉsÅ[ÉNéûãüããóÕ(ñúkW),ó\ëzç≈ëÂìdóÕ(ñúkW),ó\ëzégópó¶(%),é¿ê—ç≈ëÂìdóÕ(ñúkW),é¿ê—ç≈ëÂìdóÕî≠ê∂éûä‘ë—
2022/2/1,1469,1350,92,1346,18:00Å`19:00
2022/2/2,1470,1340,91,1381,9:00Å`10:00
2022/2/3,1550,1370,88,1361,9:00Å`10:00
2022/2/4,1524,1370,90,1332,18:00Å`19:00
2022/2/5,1452,1315,91,1327,18:00Å`19:00
2022/2/6,1432,1275,89,1294,18:00Å`19:00
2022/2/7,1517,1395,92,1359,18:00Å`19:00
2022/2/8,1517,1345,89,1354,9:00Å`10:00
2022/2/9,1463,1270,87,1305,8:00Å`9:00
2022/2/10,1400,1250,89,1288,9:00Å`10:00
2022/2/11,1322,1170,89,1158,19:00Å`20:00
2022/2/12,1299,1115,86,1111,9:00Å`10:00
2022/2/13,1354,1145,84,1114,18:00Å`19:00
2022/2/14,1351,1200,89,1222,9:00Å`10:00
2022/2/15,1404,1275,91,1260,18:00Å`19:00
2022/2/16,1553,1415,91,1399,18:00Å`19:00
2022/2/17,1558,1455,93,1470,18:00Å`19:00
2022/2/18,1514,1365,90,1390,8:00Å`9:00
2022/2/19,1439,1270,88,1249,9:00Å`10:00
2022/2/20,1465,1270,87,1313,19:00Å`20:00
2022/2/21,1513,1405,93,1406,18:00Å`19:00
2022/2/22,1515,1395,92,1376,18:00Å`19:00
2022/2/23,1485,1325,89,1336,19:00Å`20:00
2022/2/24,1438,1300,90,1352,19:00Å`20:00
2022/2/25,1454,1300,89,1327,7:00Å`8:00
2022/2/26,1229,1100,90,1168,8:00Å`9:00
2022/2/27,1237,1085,88,1051,19:00Å`20:00
2022/2/28,1314,1115,85,1208,7:00Å`8:00
