stim,leak_rate,N_x,RMSE,NRMSE,csv_seed,reservoir_seed
10-5,0.1,400,0.0820209862164741,0.44790108800341744,116,721
10-5,0.1,600,0.08070660909367103,0.4407235232055919,116,721
10-5,0.1,800,0.07586952101741405,0.41430910036012863,116,721
10-5,0.1,1000,0.06976340620891977,0.38096476261978274,116,721
10-5,0.1,1200,0.09512652155669178,0.5194679370322546,116,721
10-5,0.3,400,0.12804789894494106,0.6992453504841095,116,721
10-5,0.3,600,0.12400247867043511,0.6771540757266942,116,721
10-5,0.3,800,0.12143879758694373,0.663154298358022,116,721
10-5,0.3,1000,0.12007300377495513,0.655695956748187,116,721
10-5,0.3,1200,0.12002039612435421,0.6554086763212087,116,721
10-5,0.5,400,0.14317112898123013,0.7818304485162436,116,721
10-5,0.5,600,0.14404706546065976,0.7866137719101242,116,721
10-5,0.5,800,0.14347533578991342,0.7834916643449302,116,721
10-5,0.5,1000,0.14381964678998177,0.7853718815753734,116,721
10-5,0.5,1200,0.14588201655283214,0.7966340926661796,116,721
10-5,0.7,400,0.14981499679694033,0.8181113536903609,116,721
10-5,0.7,600,0.14726239808815073,0.8041720950732372,116,721
10-5,0.7,800,0.14642806704156247,0.799615971076683,116,721
10-5,0.7,1000,0.14626287951732742,0.7987139132590143,116,721
10-5,0.7,1200,0.14944799919973922,0.8161072492451014,116,721
10-5,0.9,400,0.1560214404069646,0.852003568034443,116,721
10-5,0.9,600,0.15207399035603725,0.8304472901327955,116,721
10-5,0.9,800,0.14832473268857754,0.8099733033408265,116,721
10-5,0.9,1000,0.14779322096543876,0.8070708183785985,116,721
10-5,0.9,1200,0.15049397990203964,0.8218191519690512,116,721
10-5,0.1,400,0.09423621483981762,0.5146061404904252,116,722
10-5,0.1,600,0.08877296411630489,0.4847723618933407,116,722
10-5,0.1,800,0.08542318676283726,0.46647986151755266,116,722
10-5,0.1,1000,0.07900433287398843,0.431427714827162,116,722
10-5,0.1,1200,0.08483359982681603,0.4632602388051465,116,722
10-5,0.3,400,0.13453918250052047,0.7346930218813931,116,722
