stim,leak_rate1,leak_rate2,RMSE,NRMSE,csv_seed,reservoir_seed
10-6,0.1,0.1,0.05099233708417584,0.25209449990416405,116,721
10-6,0.1,0.3,0.06921305691024575,0.3421735885496697,116,721
10-6,0.1,0.5,0.07001443020886228,0.3461353956074203,116,721
10-6,0.1,0.7,0.0707640164248516,0.34984117912432294,116,721
10-6,0.1,0.9,0.07141132370943198,0.35304131890064344,116,721
10-6,0.3,0.1,0.06488239146550345,0.3207637649963314,116,721
10-6,0.3,0.3,0.10137868403960582,0.5011931226395514,116,721
10-6,0.3,0.5,0.10434886804569918,0.5158770358401451,116,721
10-6,0.3,0.7,0.10424332594297361,0.5153552597238334,116,721
10-6,0.3,0.9,0.1043483672395068,0.5158745599683997,116,721
10-6,0.5,0.1,0.06641069610906834,0.3283193550487094,116,721
10-6,0.5,0.3,0.09733136825635977,0.481184115273457,116,721
10-6,0.5,0.5,0.09464491098257306,0.4679028824123076,116,721
10-6,0.5,0.7,0.09672846417987814,0.4782034948441576,116,721
10-6,0.5,0.9,0.09704824767830286,0.4797844316225584,116,721
10-6,0.7,0.1,0.06761651602666498,0.33428065406897606,116,721
10-6,0.7,0.3,0.09740771372013386,0.4815615498569771,116,721
10-6,0.7,0.5,0.09403598025592873,0.4648924675973075,116,721
10-6,0.7,0.7,0.10188915417704089,0.5037167707280922,116,721
10-6,0.7,0.9,0.1061814186394348,0.5249367485713786,116,721
10-6,0.9,0.1,0.0684468539418053,0.338385655593484,116,721
10-6,0.9,0.3,0.09759180178025842,0.4824716392960789,116,721
10-6,0.9,0.5,0.09427856507047795,0.46609175166634675,116,721
10-6,0.9,0.7,0.10278259468884465,0.5081337371174829,116,721
10-6,0.9,0.9,0.11269557682872627,0.5571412629146849,116,721
10-6,0.1,0.1,0.0463710204298888,0.22924776297312022,116,722
10-6,0.1,0.3,0.06379148894211016,0.3153705913980112,116,722
10-6,0.1,0.5,0.06596808345564285,0.3261311789050594,116,722
10-6,0.1,0.7,0.06761441753652114,0.33427027961168276,116,722
10-6,0.1,0.9,0.06865424687439188,0.3394109590138345,116,722
10-6,0.3,0.1,0.05949273416244877,0.2941185269044685,116,722
10-6,0.3,0.3,0.10279550497404286,0.508197562626898,116,722
10-6,0.3,0.5,0.09815490203601894,0.4852554787019395,116,722
10-6,0.3,0.7,0.09791354755359274,0.48406227711468097,116,722
10-6,0.3,0.9,0.09796409319650953,0.48431216326036614,116,722
10-6,0.5,0.1,0.06073622185602926,0.3002660468295248,116,722
10-6,0.5,0.3,0.09553407750650057,0.4722987191791341,116,722
10-6,0.5,0.5,0.09509304138721907,0.47011833706120115,116,722
10-6,0.5,0.7,0.09433241912486447,0.46635799384477383,116,722
10-6,0.5,0.9,0.09433840478316834,0.46638758557606125,116,722
10-6,0.7,0.1,0.06175385601590935,0.3052969983271367,116,722
10-6,0.7,0.3,0.09518899371413977,0.47059270351021854,116,722
10-6,0.7,0.5,0.09480218848856557,0.4686804265784812,116,722
10-6,0.7,0.7,0.09998994463804278,0.4943275113545397,116,722
10-6,0.7,0.9,0.10264040133100075,0.5074307655440056,116,722
10-6,0.9,0.1,0.062481787496060336,0.30889572576240276,116,722
10-6,0.9,0.3,0.09535273661808662,0.47140221113124,116,722
10-6,0.9,0.5,0.09500264930137965,0.46967145917762104,116,722
10-6,0.9,0.7,0.10463134765403405,0.5172735506827332,116,722
10-6,0.9,0.9,0.11232101060593788,0.5552894928250153,116,722
10-6,0.1,0.1,0.05273331070102367,0.2607014769203596,116,723
10-6,0.1,0.3,0.06080816191161829,0.30062170207840766,116,723
10-6,0.1,0.5,0.061251575073978944,0.30281383575589943,116,723
10-6,0.1,0.7,0.061755619503920514,0.30530571661019024,116,723
10-6,0.1,0.9,0.06232843403495786,0.308137581180377,116,723
10-6,0.3,0.1,0.06942970382276677,0.3432446415390161,116,723
10-6,0.3,0.3,0.10531994029399361,0.5206777958523895,116,723
10-6,0.3,0.5,0.09960267647632026,0.492412945771929,116,723
10-6,0.3,0.7,0.09684815544654976,0.47879522120423146,116,723
10-6,0.3,0.9,0.09639756498909521,0.47656760461458425,116,723
10-6,0.5,0.1,0.07134769385072692,0.3527267473723225,116,723
