stim,leak_rate,reservoir_num,RMSE,NRMSE,csv_seed,reservoir_seed
10-6,0.1,1,0.07706080743172367,0.38097107962796267,116,721
10-6,0.1,1,0.06968237887213,0.34449380943070024,116,722
10-6,0.1,1,0.060253732447329636,0.2978807290906182,116,723
10-6,0.1,1,0.07461829987240151,0.36889587859014755,116,724
10-6,0.1,1,0.06272250609762799,0.31008578369953266,116,725
10-6,0.1,1,0.07526523546652503,0.37209418081351003,126,721
10-6,0.1,1,0.06896270807182225,0.3409359209150254,126,722
10-6,0.1,1,0.06094532103105255,0.3012997855238477,126,723
10-6,0.1,1,0.06877827952621866,0.34002414819326837,126,724
10-6,0.1,1,0.073940013007406,0.36554258282454377,126,725
10-6,0.1,1,0.08278669113561914,0.4092785444625343,136,721
10-6,0.1,1,0.07336552289004052,0.3627024345372028,136,722
10-6,0.1,1,0.07091112364143802,0.3505684436961826,136,723
10-6,0.1,1,0.07877023362033903,0.389422093344606,136,724
10-6,0.1,1,0.058274515900898834,0.2880959332956956,136,725
10-6,0.1,1,0.08746388526536487,0.4324015269049069,146,721
10-6,0.1,1,0.06529071815193233,0.3227824391285425,146,722
10-6,0.1,1,0.06601335781962225,0.3263550050483292,146,723
10-6,0.1,1,0.0626603105641098,0.3097783031482362,146,724
10-6,0.1,1,0.06131603512663018,0.3031325115739951,146,725
10-6,0.1,1,0.08510097293149635,0.4207198265321499,156,721
10-6,0.1,1,0.07691900601364984,0.38027004571543555,156,722
10-6,0.1,1,0.07162259938904884,0.3540858177379296,156,723
10-6,0.1,1,0.07951522220160569,0.3931051472026535,156,724
10-6,0.1,1,0.09401205301412766,0.464774176763805,156,725
10-6,0.1,2,0.05099233708417584,0.25209449990416405,116,721
10-6,0.1,2,0.0463710204298888,0.22924776297312022,116,722
10-6,0.1,2,0.05273331070102367,0.2607014769203596,116,723
10-6,0.1,2,0.05671693603296569,0.2803956132021251,116,724
10-6,0.1,2,0.055602619363492464,0.2748866853986787,116,725
10-6,0.1,2,0.048746878803407785,0.24099346561716034,126,721
10-6,0.1,2,0.043405286949652705,0.21458585215865852,126,722
10-6,0.1,2,0.05138532788323519,0.25403735690230994,126,723
10-6,0.1,2,0.057575032393270796,0.2846378461569239,126,724
10-6,0.1,2,0.05598429017106403,0.27677357893728904,126,725
10-6,0.1,2,0.05496173786044964,0.2717183132226651,136,721
10-6,0.1,2,0.05749464438882036,0.2842404261730786,136,722
10-6,0.1,2,0.060800681616490014,0.30058472120309726,136,723
10-6,0.1,2,0.058033302558473734,0.28690342947245473,136,724
10-6,0.1,2,0.057972520738987815,0.2866029380013289,136,725
10-6,0.1,2,0.08282677424588966,0.4094767062298911,146,721
10-6,0.1,2,0.06828344342646342,0.33757779122601655,146,722
10-6,0.1,2,0.08355257034350431,0.4130648768202784,146,723
10-6,0.1,2,0.062286159515089305,0.30792858558310987,146,724
10-6,0.1,2,0.057484309523798946,0.28418933295440835,146,725
10-6,0.1,2,0.058675250496164164,0.2900770738584619,156,721
10-6,0.1,2,0.04935627264281227,0.2440061699561624,156,722
10-6,0.1,2,0.05745408310649797,0.28403990043201177,156,723
10-6,0.1,2,0.06487919805450114,0.32074797749970646,156,724
10-6,0.1,2,0.06692815436786333,0.3308775508175533,156,725
10-6,0.1,3,0.053160670011855,0.26281424401251247,116,721
10-6,0.1,3,0.0566844181507244,0.2802348521989958,116,722
10-6,0.1,3,0.056760962660444045,0.28061327082033355,116,723
10-6,0.1,3,0.051072149042344785,0.25248907204640103,116,724
10-6,0.1,3,0.05112160117601682,0.2527335521314512,116,725
10-6,0.1,3,0.05352764757655997,0.26462849750510353,126,721
10-6,0.1,3,0.054179680907350695,0.26785200177742574,126,722
10-6,0.1,3,0.053659603390621466,0.2652808569939492,126,723
10-6,0.1,3,0.05079907538044965,0.25113905806059733,126,724
10-6,0.1,3,0.04817596557098723,0.23817100063427193,126,725
10-6,0.1,3,0.05219506892813963,0.2580405321917674,136,721
10-6,0.1,3,0.0670070266610126,0.33126747746996266,136,722
10-6,0.1,3,0.054574223912287015,0.2698025325278779,136,723
10-6,0.1,3,0.04826838402504677,0.23862789642078186,136,724
10-6,0.1,3,0.046065960211183796,0.227739614736099,136,725
10-6,0.1,3,0.08344606250613479,0.4125383263318546,146,721
10-6,0.1,3,0.051726857841258245,0.25572580322372457,146,722
10-6,0.1,3,0.07613330879163459,0.37638573760982624,146,723
10-6,0.1,3,0.07766178692345448,0.38394218534862107,146,724
10-6,0.1,3,0.062324109510442795,0.3081162017161812,146,725
10-6,0.1,3,0.06367948561198511,0.3148168724451249,156,721
10-6,0.1,3,0.06367978981282658,0.31481837634479665,156,722
10-6,0.1,3,0.06722111955472808,0.3323259039720691,156,723
10-6,0.1,3,0.06441425010323579,0.31844938073089746,156,724
10-6,0.1,3,0.06551052993956724,0.3238691385395812,156,725
10-6,0.1,4,0.11738641153925357,0.5803316812814956,116,721
10-6,0.1,4,0.10466259456518885,0.5174280282943028,116,722
10-6,0.1,4,0.10277664324401092,0.508104314529799,116,723
10-6,0.1,4,0.05307555185528874,0.262393439234004,116,724
10-6,0.1,4,0.041238645587440656,0.20387447076468782,116,725
10-6,0.1,4,0.04635702676317308,0.22917858147224687,126,721
10-6,0.1,4,0.05237118749526184,0.2589112222726951,126,722
10-6,0.1,4,0.04882039042083074,0.241356890309792,126,723
10-6,0.1,4,0.05337971234941887,0.26389713943765936,126,724
10-6,0.1,4,0.04015687526965948,0.19852644471085074,126,725
10-6,0.1,4,0.06957284877151923,0.3439523175611994,136,721
10-6,0.1,4,0.08815068732187223,0.43579691983782076,136,722
10-6,0.1,4,0.04881163467444953,0.24131360389399947,136,723
10-6,0.1,4,0.07521965955821466,0.3718688639037514,136,724
10-6,0.1,4,0.073952506498176,0.36560434779724,136,725
10-6,0.1,4,0.07666812670263812,0.3790297555451419,146,721
10-6,0.1,4,0.0576912895976526,0.285212595295221,146,722
10-6,0.1,4,0.05567372765567868,0.27523822859875074,146,723
10-6,0.1,4,0.06098208976053895,0.3014815617475317,146,724
10-6,0.1,4,0.09412406700067116,0.46532794839959696,146,725
10-6,0.1,4,0.05041946122509836,0.2492623321421157,156,721
10-6,0.1,4,0.051498273217598416,0.25459573290958737,156,722
10-6,0.1,4,0.04856341269495949,0.24008645096548265,156,723
10-6,0.1,4,0.04068308590844806,0.2011279102528336,156,724
10-6,0.1,4,0.08060418526133901,0.3984887325343949,156,725
10-6,0.1,5,0.04728804643555772,0.23378133067205906,116,721
10-6,0.1,5,0.04187497859111729,0.20702035619585699,116,722
10-6,0.1,5,0.0580789798869666,0.287129247780495,116,723
