stim,N_x,leak_rate,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,400,0.1,116,721,0.08155428347514955,0.4199956387453968
10-6,600,0.1,116,721,0.08552777204482077,0.44045867022276997
10-6,800,0.1,116,721,0.0871050404774905,0.448581430115007
10-6,1000,0.1,116,721,0.08380786035904332,0.43160131318064865
10-6,1200,0.1,116,721,0.0860551490251904,0.4431746039823677
10-6,400,0.3,116,721,0.09125052368477746,0.4699302151617584
10-6,600,0.3,116,721,0.09167661888224943,0.4721245588185587
10-6,800,0.3,116,721,0.09158704772781981,0.4716632771713563
10-6,1000,0.3,116,721,0.09195179639915431,0.47354169292919135
10-6,1200,0.3,116,721,0.09194454103767485,0.4735043286112298
10-6,400,0.5,116,721,0.10951890548570908,0.5640103830742752
10-6,600,0.5,116,721,0.1111253286174138,0.5722832864773354
10-6,800,0.5,116,721,0.10987773182263079,0.5658582994577234
10-6,1000,0.5,116,721,0.11175500217926698,0.57552603644144
10-6,1200,0.5,116,721,0.11050762305053641,0.5691021703781877
10-6,400,0.7,116,721,0.1239265919721979,0.6382083924354898
10-6,600,0.7,116,721,0.12492134764331272,0.6433312753262798
10-6,800,0.7,116,721,0.1241964147135951,0.6395979500380121
10-6,1000,0.7,116,721,0.12544233322403797,0.6460142940768585
10-6,1200,0.7,116,721,0.12481450305692156,0.6427810373940009
10-6,400,0.9,116,721,0.13173455730975947,0.6784185598174438
10-6,600,0.9,116,721,0.1322624820430146,0.6811373144444837
10-6,800,0.9,116,721,0.13217181209628567,0.6806703741371357
10-6,1000,0.9,116,721,0.1328688624222601,0.6842601070661795
10-6,1200,0.9,116,721,0.1324281564541795,0.6819905195390041
10-6,400,0.1,116,722,0.08418879272982163,0.43356307322029863
10-6,600,0.1,116,722,0.08314722415603192,0.4281991090015554
10-6,800,0.1,116,722,0.08510337809278808,0.4382730877938842
10-6,1000,0.1,116,722,0.08302635441008428,0.42757664303176074
10-6,1200,0.1,116,722,0.08190915861157938,0.42182320687853014
10-6,400,0.3,116,722,0.09279095717556321,0.477863279132635
10-6,600,0.3,116,722,0.09186829271732906,0.4731116581021859
10-6,800,0.3,116,722,0.09224904370961175,0.47507248406242425
10-6,1000,0.3,116,722,0.09257194607302639,0.47673539591200303
10-6,1200,0.3,116,722,0.09174495252553998,0.47247646960654766
10-6,400,0.5,116,722,0.11234883577228412,0.5785842144865417
10-6,600,0.5,116,722,0.11085570767135375,0.5708947680987253
10-6,800,0.5,116,722,0.1120996502494704,0.5773009363022371
10-6,1000,0.5,116,722,0.11210555560520825,0.5773313482383055
10-6,1200,0.5,116,722,0.11040493971134839,0.56857336241381
10-6,400,0.7,116,722,0.12589847374562205,0.6483633678662044
10-6,600,0.7,116,722,0.1249658344072586,0.6435603772942329
10-6,800,0.7,116,722,0.12559069123235336,0.6467783215909302
10-6,1000,0.7,116,722,0.12594611770643088,0.6486087290526388
