stim,leak_rate,tikhonov_beta,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,0.1,0.001,116,721,0.08096358392599792,0.43532017403527157
10-6,0.1,0.0001,116,721,0.07958147864940426,0.42788895273346084
10-6,0.1,1e-05,116,721,0.0758371217409544,0.407756517606498
10-6,0.1,1e-06,116,721,0.06822067207922232,0.366804844872907
10-6,0.1,1e-07,116,721,0.05799935028538919,0.31184745086439924
10-6,0.3,0.001,116,721,0.09145058710392164,0.49170606787977916
10-6,0.3,0.0001,116,721,0.08636944323449694,0.4643860762702433
10-6,0.3,1e-05,116,721,0.08352777164630007,0.44910714578890965
10-6,0.3,1e-06,116,721,0.08211091429806974,0.4414890716189404
10-6,0.3,1e-07,116,721,0.08377006282558547,0.45040988256536135
10-6,0.5,0.001,116,721,0.1181252207857449,0.6351286489171007
10-6,0.5,0.0001,116,721,0.11329816124472149,0.6091748027855167
10-6,0.5,1e-05,116,721,0.10894934514833789,0.5857923475121009
10-6,0.5,1e-06,116,721,0.10449454817094758,0.561840060552301
10-6,0.5,1e-07,116,721,0.10560771189316243,0.5678252529287554
10-6,0.7,0.001,116,721,0.13216212756962797,0.7106014529577668
10-6,0.7,0.0001,116,721,0.1293541565596386,0.6955037217373723
10-6,0.7,1e-05,116,721,0.1261270247464713,0.6781522716851266
10-6,0.7,1e-06,116,721,0.1224673197479373,0.6584749879036214
10-6,0.7,1e-07,116,721,0.12225190205226136,0.65731674287265
10-6,0.9,0.001,116,721,0.1393238080120376,0.7491079496492214
10-6,0.9,0.0001,116,721,0.1374133114632582,0.73883570563803
10-6,0.9,1e-05,116,721,0.135075170922328,0.7262641308899681
10-6,0.9,1e-06,116,721,0.13248413589812744,0.7123328081523604
10-6,0.9,1e-07,116,721,0.13141968552065783,0.7066095347854661
10-6,0.1,0.001,116,722,0.07494942014654242,0.40298357656520195
10-6,0.1,0.0001,116,722,0.07521027332126103,0.4043861163727276
10-6,0.1,1e-05,116,722,0.07231221074134357,0.3888039861670306
10-6,0.1,1e-06,116,722,0.06526178445769441,0.35089567420759094
10-6,0.1,1e-07,116,722,0.05561077045700803,0.29900467716087326
10-6,0.3,0.001,116,722,0.09032566941103523,0.4856576774541495
10-6,0.3,0.0001,116,722,0.08654926810986861,0.46535294794571436
10-6,0.3,1e-05,116,722,0.08385555052331806,0.4508695277249536
10-6,0.3,1e-06,116,722,0.08242322586707031,0.44316828985481815
10-6,0.3,1e-07,116,722,0.09985389347495713,0.5368884648850114
10-6,0.5,0.001,116,722,0.11752462781318693,0.631899416407121
