stim,feedback_scale,leak_rate,tikhonov_beta,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,0.5,0.1,1e-05,116,721,0.852392174706903,1.7643917582137867
10-6,0.5,0.1,0.001,116,721,0.8032156305930787,1.6625997759472868
10-6,0.5,0.1,0.0001,116,721,0.8257292072174036,1.7092012936788783
10-6,0.5,0.1,1e-07,116,721,0.9353827409079691,1.9361763843044784
10-6,0.5,0.1,1e-06,116,721,0.9120015306217624,1.8877789260098479
10-6,0.5,0.3,1e-06,116,721,0.7811089107270053,1.6168404230458449
10-6,0.5,0.3,1e-07,116,721,0.8453973216484549,1.749912905107837
10-6,0.5,0.3,0.001,116,721,0.7918175574752974,1.6390065674861152
10-6,0.5,0.3,0.0001,116,721,0.7908483124635763,1.6370002985865229
10-6,0.5,0.3,1e-05,116,721,0.7811160517300587,1.6168552044191453
10-6,0.5,0.5,0.001,116,721,0.7584563786798809,1.5699512773772293
10-6,0.5,0.5,1e-07,116,721,0.7777159434408266,1.6098172197677514
10-6,0.5,0.5,1e-05,116,721,0.751926706031643,1.556435314952602
10-6,0.5,0.5,1e-06,116,721,0.7446551922580277,1.541383793654537
10-6,0.5,0.5,0.0001,116,721,0.7599229611035831,1.572986999686636
10-6,0.5,0.7,0.001,116,721,0.7454504639941952,1.5430299501285998
10-6,0.5,0.7,1e-07,116,721,0.7646905572454163,1.5828555878655863
10-6,0.5,0.7,1e-05,116,721,0.7389025085407854,1.5294761435851272
10-6,0.5,0.7,1e-06,116,721,0.7414888819922554,1.5348297544427183
10-6,0.5,0.7,0.0001,116,721,0.7475258603968206,1.5473258744888603
10-6,0.5,0.9,0.001,116,721,0.7395542123035644,1.5308251244673596
10-6,0.5,0.9,0.0001,116,721,0.7420613095168908,1.5360146390962977
10-6,0.5,0.9,1e-05,116,721,0.7343860715316345,1.5201274371189073
10-6,0.5,0.9,1e-06,116,721,0.7381089582606553,1.5278335504038003
10-6,0.5,0.9,1e-07,116,721,0.766079791898739,1.585731205738768
10-6,0.5,0.1,0.001,116,722,0.8102447398156319,1.677149536899893
10-6,0.5,0.1,0.0001,116,722,0.8229664789023766,1.7034826406763521
10-6,0.5,0.1,1e-07,116,722,1.1370785248738422,2.353672449444004
10-6,0.5,0.1,1e-05,116,722,0.8542132421116438,1.7681612394636368
10-6,0.5,0.1,1e-06,116,722,1.0203104944306156,2.1119708516932647
10-6,0.5,0.3,0.001,116,722,0.8030950921046802,1.662350269767164
