[I 2024-11-06 00:54:34,400] Using an existing study with name 'reproduct_sample08' instead of creating a new one.
[I 2024-11-06 01:00:40,897] Trial 20 finished with value: 0.42727960893824596 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.037320398989035435, 'nodeNum_02': 200, 'leaking_rate_02': 0.0017189880966292064, 'nodeNum_03': 550, 'leaking_rate_03': 0.004575901616719338, 'nodeNum_04': 250, 'leaking_rate_04': 0.0028345475975512426, 'tikhonov_beta': 0.0005314732556196591, 'intensity': 0.9527808059001461}. Best is trial 4 with value: 0.24990214266131328.
[I 2024-11-06 01:06:41,747] Trial 40 finished with value: 0.25100330747736266 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.001371493880315258, 'nodeNum_02': 500, 'leaking_rate_02': 0.05225771221959307, 'nodeNum_03': 350, 'leaking_rate_03': 0.019062019804808917, 'nodeNum_04': 250, 'leaking_rate_04': 0.028812269039176917, 'tikhonov_beta': 1.0317431507807015e-07, 'intensity': 0.5907015807890935}. Best is trial 36 with value: 0.23640988592594397.
[I 2024-11-06 01:12:48,200] Trial 61 finished with value: 0.263365359459743 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.0022400198706858934, 'nodeNum_02': 550, 'leaking_rate_02': 0.009375640279969842, 'nodeNum_03': 400, 'leaking_rate_03': 0.012312989983685952, 'nodeNum_04': 200, 'leaking_rate_04': 0.06061613436217285, 'tikhonov_beta': 1.8670792349766346e-06, 'intensity': 0.7992874730266388}. Best is trial 51 with value: 0.2319129467406371.
[I 2024-11-06 01:18:56,606] Trial 84 finished with value: 0.24302567359265678 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.004254886170143985, 'nodeNum_02': 450, 'leaking_rate_02': 0.005023516763016974, 'nodeNum_03': 300, 'leaking_rate_03': 0.05352094931724625, 'nodeNum_04': 300, 'leaking_rate_04': 0.04217617040852787, 'tikhonov_beta': 3.980619463810719e-07, 'intensity': 1.8078490755682115}. Best is trial 51 with value: 0.2319129467406371.
[I 2024-11-06 01:25:02,596] Trial 105 finished with value: 0.23395326832509722 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.002548170057094578, 'nodeNum_02': 500, 'leaking_rate_02': 0.08334776691089596, 'nodeNum_03': 350, 'leaking_rate_03': 0.07639057753846636, 'nodeNum_04': 200, 'leaking_rate_04': 0.07604182368832865, 'tikhonov_beta': 1.006548311323878e-07, 'intensity': 1.9923599891748744}. Best is trial 51 with value: 0.2319129467406371.
[I 2024-11-06 01:31:09,261] Trial 126 finished with value: 0.2380215344250055 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.009623339668931677, 'nodeNum_02': 300, 'leaking_rate_02': 0.0038034160748228784, 'nodeNum_03': 200, 'leaking_rate_03': 0.09384825301004263, 'nodeNum_04': 450, 'leaking_rate_04': 0.06897447842224691, 'tikhonov_beta': 5.514518739404731e-07, 'intensity': 1.5834568914383371}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:37:13,331] Trial 148 finished with value: 0.2372134071304373 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.007044374273681584, 'nodeNum_02': 250, 'leaking_rate_02': 0.07934116036471806, 'nodeNum_03': 200, 'leaking_rate_03': 0.08663421066040437, 'nodeNum_04': 400, 'leaking_rate_04': 0.08814947086890755, 'tikhonov_beta': 1.9454670082730595e-07, 'intensity': 1.5234826501862453}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:43:15,551] Trial 169 finished with value: 0.27147599336423933 and parameters: {'nodeNum_01': 500, 'leaking_rate_01': 0.006407609400639867, 'nodeNum_02': 200, 'leaking_rate_02': 0.0693420704012951, 'nodeNum_03': 150, 'leaking_rate_03': 0.0824797521960065, 'nodeNum_04': 500, 'leaking_rate_04': 0.05730516115636893, 'tikhonov_beta': 5.763261371093611e-05, 'intensity': 1.3866822490577662}. Best is trial 110 with value: 0.2252776530975354.
[I 2024-11-06 01:49:20,531] Trial 192 finished with value: 0.2335675660356631 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.0050768336471482545, 'nodeNum_02': 200, 'leaking_rate_02': 0.06001783195070195, 'nodeNum_03': 200, 'leaking_rate_03': 0.002495318417397425, 'nodeNum_04': 450, 'leaking_rate_04': 0.0979269205439535, 'tikhonov_beta': 1.1317788642974735e-07, 'intensity': 1.8636176320059767}. Best is trial 189 with value: 0.22196394849377712.
[I 2024-11-06 01:55:24,772] Trial 216 finished with value: 0.22804686260997564 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.007112070801056193, 'nodeNum_02': 150, 'leaking_rate_02': 0.04266672048329647, 'nodeNum_03': 200, 'leaking_rate_03': 0.0767164148688768, 'nodeNum_04': 550, 'leaking_rate_04': 0.09544720338929306, 'tikhonov_beta': 1.1989991392210281e-07, 'intensity': 1.9672872242546833}. Best is trial 189 with value: 0.22196394849377712.
[I 2024-11-06 02:00:56,408] Trial 238 finished with value: 0.23489816731548432 and parameters: {'nodeNum_01': 450, 'leaking_rate_01': 0.004404370989673841, 'nodeNum_02': 150, 'leaking_rate_02': 0.05125538186619029, 'nodeNum_03': 200, 'leaking_rate_03': 0.009578578552841003, 'nodeNum_04': 600, 'leaking_rate_04': 0.08245213468733509, 'tikhonov_beta': 1.4158010312164635e-07, 'intensity': 1.914021826292114}. Best is trial 223 with value: 0.2204076541705011.
