[I 2024-11-07 18:52:09,052] Using an existing study with name 'reproduct_sample09' instead of creating a new one.
[I 2024-11-07 18:57:00,669] Trial 6 finished with value: 0.958420796378668 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.06680638481352966, 'nodeNum_02': 250, 'leaking_rate_02': 0.1316201641472376, 'nodeNum_03': 450, 'leaking_rate_03': 0.040696622367094676, 'nodeNum_04': 400, 'leaking_rate_04': 0.6208020019243441, 'tikhonov_beta': 1.4838909117135262e-09, 'intensity': 1.826182782605326}. Best is trial 1 with value: 0.2525442193697721.
[I 2024-11-07 19:02:22,758] Trial 26 finished with value: 0.2819208684770069 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.003849491700362121, 'nodeNum_02': 250, 'leaking_rate_02': 0.461946904888323, 'nodeNum_03': 250, 'leaking_rate_03': 0.0022635132219159574, 'nodeNum_04': 400, 'leaking_rate_04': 0.005106715440935376, 'tikhonov_beta': 2.3735857614275975e-08, 'intensity': 3.37649180201135}. Best is trial 25 with value: 0.22288089504396397.
[I 2024-11-07 19:08:23,395] Trial 46 finished with value: 0.23809593102711915 and parameters: {'nodeNum_01': 600, 'leaking_rate_01': 0.009039927671210675, 'nodeNum_02': 300, 'leaking_rate_02': 0.8251774307579717, 'nodeNum_03': 600, 'leaking_rate_03': 0.12588262846527143, 'nodeNum_04': 550, 'leaking_rate_04': 0.2709814711229889, 'tikhonov_beta': 5.471851613004969e-07, 'intensity': 2.6532998151605085}. Best is trial 44 with value: 0.2220072375203437.
[I 2024-11-07 19:14:14,568] Trial 67 finished with value: 0.2277162043355108 and parameters: {'nodeNum_01': 550, 'leaking_rate_01': 0.00135089962179048, 'nodeNum_02': 600, 'leaking_rate_02': 0.05220901732526518, 'nodeNum_03': 350, 'leaking_rate_03': 0.024599487441530607, 'nodeNum_04': 500, 'leaking_rate_04': 0.46941379567074326, 'tikhonov_beta': 2.7097755818381456e-07, 'intensity': 4.067591310601971}. Best is trial 57 with value: 0.2179151496612292.
[I 2024-11-07 19:19:43,241] Trial 86 finished with value: 0.2220335057055507 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.003834953212724033, 'nodeNum_02': 200, 'leaking_rate_02': 0.13975312286553973, 'nodeNum_03': 400, 'leaking_rate_03': 0.04503392262783234, 'nodeNum_04': 400, 'leaking_rate_04': 0.1356713812574517, 'tikhonov_beta': 6.830838398452548e-08, 'intensity': 4.551954257147691}. Best is trial 57 with value: 0.2179151496612292.
[I 2024-11-07 19:25:07,450] Trial 106 finished with value: 0.22652015509033657 and parameters: {'nodeNum_01': 350, 'leaking_rate_01': 0.0044959775463556725, 'nodeNum_02': 200, 'leaking_rate_02': 0.24301554923325755, 'nodeNum_03': 400, 'leaking_rate_03': 0.0837907702927014, 'nodeNum_04': 150, 'leaking_rate_04': 0.09463454769700448, 'tikhonov_beta': 4.2227020986645296e-08, 'intensity': 4.272791561874315}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:30:28,869] Trial 126 finished with value: 0.22083776758582777 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.005241905996157826, 'nodeNum_02': 150, 'leaking_rate_02': 0.20996721063471033, 'nodeNum_03': 450, 'leaking_rate_03': 0.06533785673493915, 'nodeNum_04': 200, 'leaking_rate_04': 0.18655882344859034, 'tikhonov_beta': 1.5042883113202128e-07, 'intensity': 3.39317355136021}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:35:47,790] Trial 146 finished with value: 0.22206785457221898 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.0029045837802136702, 'nodeNum_02': 250, 'leaking_rate_02': 0.09896243191794336, 'nodeNum_03': 400, 'leaking_rate_03': 0.012843803608719664, 'nodeNum_04': 200, 'leaking_rate_04': 0.1961867389662588, 'tikhonov_beta': 2.6119925196675254e-08, 'intensity': 2.987729806788856}. Best is trial 97 with value: 0.21526481779577486.
[I 2024-11-07 19:41:17,326] Trial 166 finished with value: 1.6159241918403873 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.17693977545206774, 'nodeNum_02': 200, 'leaking_rate_02': 0.1620019455555606, 'nodeNum_03': 500, 'leaking_rate_03': 0.03692715282731569, 'nodeNum_04': 250, 'leaking_rate_04': 0.22527422338509762, 'tikhonov_beta': 1.660471425630621e-08, 'intensity': 3.5731799850380623}. Best is trial 151 with value: 0.21394422899201615.
[I 2024-11-07 19:46:43,461] Trial 186 finished with value: 0.6590036471635184 and parameters: {'nodeNum_01': 300, 'leaking_rate_01': 0.02954455973889134, 'nodeNum_02': 250, 'leaking_rate_02': 0.07069918356584384, 'nodeNum_03': 400, 'leaking_rate_03': 0.008186043272481621, 'nodeNum_04': 150, 'leaking_rate_04': 0.31347297711764627, 'tikhonov_beta': 2.418005329812133e-09, 'intensity': 4.881580549115566}. Best is trial 172 with value: 0.21026677483052886.
[I 2024-11-07 19:52:13,705] Trial 206 finished with value: 0.21816637254682097 and parameters: {'nodeNum_01': 250, 'leaking_rate_01': 0.006352585471340715, 'nodeNum_02': 250, 'leaking_rate_02': 0.08515189983227688, 'nodeNum_03': 550, 'leaking_rate_03': 0.014933572575793919, 'nodeNum_04': 300, 'leaking_rate_04': 0.15305882274189184, 'tikhonov_beta': 5.1095742678828443e-08, 'intensity': 4.105058745858704}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 19:57:46,842] Trial 226 finished with value: 0.22123962720046 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.01676888502850575, 'nodeNum_02': 300, 'leaking_rate_02': 0.00895619115406239, 'nodeNum_03': 550, 'leaking_rate_03': 0.040686537778494195, 'nodeNum_04': 350, 'leaking_rate_04': 0.1367803539125085, 'tikhonov_beta': 7.665224659102839e-08, 'intensity': 3.7139746438280055}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:03:18,372] Trial 245 finished with value: 0.2176060681190152 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.022858904216619437, 'nodeNum_02': 250, 'leaking_rate_02': 0.1177681760066982, 'nodeNum_03': 550, 'leaking_rate_03': 0.020241625390798997, 'nodeNum_04': 350, 'leaking_rate_04': 0.2557820372548849, 'tikhonov_beta': 6.806636444685643e-08, 'intensity': 4.971680008669031}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:08:45,909] Trial 265 finished with value: 7.130832762933633 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.009273953061130675, 'nodeNum_02': 250, 'leaking_rate_02': 0.1152116827463634, 'nodeNum_03': 550, 'leaking_rate_03': 0.02296898446253354, 'nodeNum_04': 300, 'leaking_rate_04': 0.1745392539125989, 'tikhonov_beta': 2.0832929475750427e-08, 'intensity': 4.519319262059597}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:14:17,208] Trial 285 finished with value: 0.2128153499603449 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.0253130134808432, 'nodeNum_02': 350, 'leaking_rate_02': 0.1399819475592358, 'nodeNum_03': 600, 'leaking_rate_03': 0.023934817334088886, 'nodeNum_04': 400, 'leaking_rate_04': 0.20787037976508285, 'tikhonov_beta': 4.3536415420503204e-08, 'intensity': 4.589179165729242}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:19:54,376] Trial 305 finished with value: 0.21885235264517014 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.040670669138260625, 'nodeNum_02': 350, 'leaking_rate_02': 0.145070317974163, 'nodeNum_03': 600, 'leaking_rate_03': 0.028763922007412977, 'nodeNum_04': 400, 'leaking_rate_04': 0.20553578316735796, 'tikhonov_beta': 3.559768796866085e-08, 'intensity': 4.428642716794082}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:25:27,220] Trial 325 finished with value: 0.21166709637969316 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.04117276734976126, 'nodeNum_02': 350, 'leaking_rate_02': 0.17484083562417033, 'nodeNum_03': 600, 'leaking_rate_03': 0.018798083484651763, 'nodeNum_04': 450, 'leaking_rate_04': 0.38814720476509657, 'tikhonov_beta': 3.2697560408423245e-08, 'intensity': 4.396742679817042}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:31:04,993] Trial 345 finished with value: 0.2199054063943232 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.048563409353170155, 'nodeNum_02': 400, 'leaking_rate_02': 0.18125295536954, 'nodeNum_03': 600, 'leaking_rate_03': 0.014501389809499868, 'nodeNum_04': 450, 'leaking_rate_04': 0.37729653060106566, 'tikhonov_beta': 2.6417381875901177e-08, 'intensity': 4.3334651955649255}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:36:30,300] Trial 365 finished with value: 0.2165621117473921 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.057241624489805056, 'nodeNum_02': 350, 'leaking_rate_02': 0.201298296970797, 'nodeNum_03': 250, 'leaking_rate_03': 0.01466167293471628, 'nodeNum_04': 450, 'leaking_rate_04': 0.7098301040349133, 'tikhonov_beta': 2.9252219096572625e-08, 'intensity': 4.4947056572141095}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:42:07,262] Trial 383 finished with value: 0.21443796786439534 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.03731961708821434, 'nodeNum_02': 500, 'leaking_rate_02': 0.12558459689654103, 'nodeNum_03': 600, 'leaking_rate_03': 0.02123313096180088, 'nodeNum_04': 250, 'leaking_rate_04': 0.32881263275211564, 'tikhonov_beta': 3.8247769538556765e-08, 'intensity': 4.852217884854221}. Best is trial 194 with value: 0.2079221796202857.
[I 2024-11-07 20:48:06,110] Trial 403 finished with value: 0.21358660432181764 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.02813168062483786, 'nodeNum_02': 300, 'leaking_rate_02': 0.09400046891626536, 'nodeNum_03': 600, 'leaking_rate_03': 0.024362984120952887, 'nodeNum_04': 250, 'leaking_rate_04': 0.3585076511014917, 'tikhonov_beta': 3.3934219819329674e-08, 'intensity': 4.906128382229315}. Best is trial 389 with value: 0.20599577644414407.
[I 2024-11-07 20:54:11,814] Trial 423 finished with value: 0.2194792104855363 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.033836855557602664, 'nodeNum_02': 350, 'leaking_rate_02': 0.09511705854990175, 'nodeNum_03': 600, 'leaking_rate_03': 0.018285568991757647, 'nodeNum_04': 250, 'leaking_rate_04': 0.2664625576235281, 'tikhonov_beta': 5.369531779785966e-08, 'intensity': 2.3425823470286455}. Best is trial 389 with value: 0.20599577644414407.
