leaking_rate,tikhonov_beta,RMSE,NRMSE
0.9,0.5,0.07152249055802763,0.9996243435729134
0.9,0.3,0.07151759343263497,0.9995558995671492
0.9,0.1,0.07150565802862989,0.9993890860193997
0.9,0.01,0.07147256462146315,0.9989265605234677
0.9,0.001,0.07140977985537346,0.9980490577953173
0.9,0.0001,0.07132384752533862,0.9968480362937928
0.8,0.5,0.0715268985523941,0.9996859513055395
0.8,0.3,0.07152264852470064,0.999626551372594
0.8,0.1,0.07151062090032496,0.999458448919401
0.8,0.01,0.07147553277684884,0.9989680445427727
0.8,0.001,0.07142145938288517,0.9982122951201231
0.8,0.0001,0.07135280167591923,0.9972527100340672
0.7,0.5,0.07152976144158044,0.9997259640861529
0.7,0.3,0.0715260499790185,0.9996740913353828
0.7,0.1,0.07151456724133588,0.9995136044168087
0.7,0.01,0.07148042195582603,0.999036377486544
0.7,0.001,0.071429625001593,0.9983264207773392
0.7,0.0001,0.07135580549095825,0.9972946924456579
0.6,0.5,0.071532921763196,0.9997701338905849
0.6,0.3,0.07152998478288379,0.9997290855854465
0.6,0.1,0.07152142799265775,0.9996094927728072
0.6,0.01,0.07148992805598377,0.9991692382000897
0.6,0.001,0.07143003314219896,0.998332125098905
0.6,0.0001,0.07136928117802174,0.9974830335496929
0.5,0.5,0.07153669054535361,0.9998228077608734
0.5,0.3,0.07153494532124464,0.9997984158739202
0.5,0.1,0.07152989837195164,0.9997278778748279
0.5,0.01,0.07150677587849553,0.9994047094957278
0.5,0.001,0.07145681430109084,0.9987064283169353
0.5,0.0001,0.07139472933040066,0.9978387061838313
0.4,0.5,0.07154001477298667,0.999869268375425
0.4,0.3,0.07153874698859702,0.9998515493596524
0.4,0.1,0.07153518376234731,0.9998017484135013
0.4,0.01,0.07151836418765503,0.9995666719196633
0.4,0.001,0.07147219870285874,0.9989214463119536
0.4,0.0001,0.07142029803285199,0.9981960636696308
0.3,0.5,0.0715422908465602,0.9999010796075859
0.3,0.3,0.07154137545778222,0.999888285801062
0.3,0.1,0.07153869238989904,0.9998507862683897
0.3,0.01,0.07152355321597854,0.9996391956669658
0.3,0.001,0.07148665597834558,0.9991235064528355
0.3,0.0001,0.07143281005178162,0.9983709361973031
0.2,0.5,0.07154541942162934,0.9999448057107376
0.2,0.3,0.07154479747673267,0.999936113182636
0.2,0.1,0.0715430405201089,0.9999115573177881
0.2,0.01,0.07153341495018282,0.9997770268513042
0.2,0.001,0.07151353641812185,0.9994991972566184
0.2,0.0001,0.07147251354539548,0.9989258466657676
0.1,0.5,0.07154825901055892,0.9999844928384871
0.1,0.3,0.07154798113675706,0.9999806091731588
0.1,0.1,0.07154724101968629,0.9999702650277682
0.1,0.01,0.07154460156893619,0.999933375104013
0.1,0.001,0.07153710799009262,0.9998286421203869
0.1,0.0001,0.07151905210455133,0.9995762864964283
